FID,FID_1,GEOID10,NAMELSAD10,POP100_RE,Count_,house_inc,Percent_hi,Percent__M,houseinc_k,age,age_error,Diabete,bigger8,8_dia,7_8,78_dia,6_7,67_dia,6no0,6_dia,PropDiab,PropWhite,null_dia,TownName
0,0,25021443102,Census Tract 4431.02,8694,1252,87568,91.6,3.1,88,41,3.1,58,9,0.155172414,10,0.172413793,11,0.189655172,1,0.017241379,0.046325879,0.953997683,0.465517,BELLINGHAM
1,1,25027728400,Census Tract 7284,4963,2259,98659,94.7,3.2,99,41.5,1.5,153,32,0.209150327,33,0.215686275,60,0.392156863,18,0.117647059,0.067729084,0.906684699,0.0653595,
2,2,25027716300,Census Tract 7163,3228,1535,51229,85,5,51,38.2,4.8,124,23,0.185483871,29,0.233870968,36,0.290322581,17,0.137096774,0.080781759,0.911443358,0.153226,
3,3,25027756101,Census Tract 7561.01,4512,1112,70093,91.9,3.2,70,41.9,3.2,75,17,0.226666667,17,0.226666667,19,0.253333333,6,0.08,0.067446043,0.960754553,0.213333,
4,4,25027749100,Census Tract 7491,7988,3799,94200,96.9,1.7,94,40,2.3,220,50,0.227272727,53,0.240909091,63,0.286363636,25,0.113636364,0.057909976,0.922995079,0.131818,UXBRIDGE
5,5,25027739100,Census Tract 7391,9557,4418,99543,95.6,2.5,100,37.8,2.9,338,57,0.168639053,84,0.24852071,138,0.408284024,27,0.079881657,0.076505206,0.684629901,0.0946746,
6,6,25027731900,Census Tract 7319,5227,2968,34904,78.3,7.4,35,28.7,3.2,297,91,0.306397306,65,0.218855219,73,0.245791246,30,0.101010101,0.100067385,0.533760186,0.127946,
7,7,25027710400,Census Tract 7104,2149,791,52891,85.7,4.3,53,37,5.2,92,21,0.22826087,21,0.22826087,17,0.184782609,6,0.065217391,0.11630847,0.866554763,0.293478,
8,8,25027713100,Census Tract 7131,8055,2315,96813,90,2.4,97,38.3,3.3,171,35,0.204678363,44,0.257309942,47,0.274853801,17,0.099415205,0.073866091,0.859468191,0.163743,LANCASTER
9,9,25027707200,Census Tract 7072,1839,414,29571,83.7,4.3,30,38.9,5,44,9,0.204545455,7,0.159090909,6,0.136363636,11,0.25,0.106280193,0.890329013,0.25,
10,10,25027731700,Census Tract 7317,2761,990,26269,79.3,6.2,26,33,3,101,31,0.306930693,17,0.168316832,22,0.217821782,5,0.04950495,0.102020202,0.689967105,0.257426,
11,11,25027757200,Census Tract 7572,2293,537,31414,72.2,6.4,31,29.5,3,59,18,0.305084746,4,0.06779661,10,0.169491525,4,0.06779661,0.109869646,0.571489362,0.38983,
12,12,25021443101,Census Tract 4431.01,7638,996,88931,95.6,1.8,89,41.6,1.5,60,11,0.183333333,5,0.083333333,9,0.15,5,0.083333333,0.060240964,0.929706905,0.5,
13,13,25027737100,Census Tract 7371,5116,2182,76275,92.5,3.6,76,45.6,2,197,48,0.243654822,40,0.203045685,80,0.406091371,17,0.086294416,0.090284143,0.964770714,0.0609137,
14,14,25027745100,Census Tract 7451,5911,1358,95268,91.9,3.3,95,41.2,4.6,51,8,0.156862745,8,0.156862745,11,0.215686275,6,0.117647059,0.037555228,0.945304611,0.352941,HOPEDALE
15,15,25027744300,Census Tract 7443,3838,721,52955,85.1,5.1,53,33.6,2.7,34,7,0.205882353,6,0.176470588,5,0.147058824,2,0.058823529,0.047156727,0.6521043,0.411765,
16,16,25017301102,Census Tract 3011.02,4902,611,93935,97.1,1.6,94,38.9,3.1,45,9,0.2,7,0.155555556,9,0.2,3,0.066666667,0.073649755,0.967870722,0.377778,TOWN SEND
17,17,25027726200,Census Tract 7262,5700,1843,45750,80.6,4.6,46,38.8,5.2,160,41,0.25625,30,0.1875,57,0.35625,14,0.0875,0.086814976,0.948189315,0.1125,
18,18,25027725100,Census Tract 7251,4680,1411,68232,92.7,3,68,43.4,4.5,103,24,0.233009709,25,0.242718447,33,0.32038835,7,0.067961165,0.072997874,0.976130123,0.135922,NORTH BROOKFIELD
19,19,25027744102,Census Tract 7441.02,5258,1011,72396,94.8,2.7,72,42,1.5,62,10,0.161290323,3,0.048387097,16,0.258064516,5,0.080645161,0.06132542,0.885344161,0.451613,
20,20,25027708100,Census Tract 7081,7277,2075,88902,93.8,2.8,89,42.9,3,129,25,0.19379845,19,0.147286822,35,0.271317829,16,0.124031008,0.062168675,0.981386566,0.263566,WESTMINSTER
21,21,25027716100,Census Tract 7161,7558,3402,74632,93,3.8,75,41.2,2.6,227,58,0.255506608,41,0.18061674,85,0.374449339,22,0.0969163,0.066725456,0.919422026,0.092511,CLINTON
22,22,25027716200,Census Tract 7162,2820,1234,51622,90.3,5.3,52,39.7,2.3,101,24,0.237623762,28,0.277227723,26,0.257425743,11,0.108910891,0.08184765,0.797039346,0.118812,
23,23,25027705100,Census Tract 7051,8013,1603,65194,90.3,4.3,65,44.4,2.3,118,32,0.271186441,19,0.161016949,28,0.237288136,10,0.084745763,0.073611978,0.993965517,0.245763,TEMPLETON
24,24,25027709600,Census Tract 7096,2423,782,46385,79.5,7.1,46,36.4,4.5,72,13,0.180555556,8,0.111111111,13,0.180555556,9,0.125,0.092071611,0.742628322,0.402778,
25,25,25027703200,Census Tract 7032,3558,699,49408,85.4,4.4,49,43.3,3.7,58,14,0.24137931,10,0.172413793,12,0.206896552,5,0.086206897,0.08297568,0.947672738,0.293103,
26,26,25027736500,Census Tract 7365,4369,1789,64912,93,2.8,65,49.1,1.9,141,29,0.205673759,27,0.191489362,47,0.333333333,19,0.134751773,0.07881498,0.976723164,0.134752,
27,27,25027728300,Census Tract 7283,4544,1968,90099,93.4,2.1,90,40.4,2,133,23,0.172932331,26,0.195488722,53,0.398496241,15,0.112781955,0.067581301,0.963520198,0.120301,HOLDEN
